lead_time,total_stay,adr,total_guests,total_of_special_requests,hotel,arrival_date_month,market_segment,distribution_channel,customer_type,deposit_type,is_repeated_guest,actual_is_canceled,pred_cancel_prob
414,2,122.4,2.0,1,City Hotel,July,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.45379403111276156
54,5,92.0,2.0,1,City Hotel,March,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.10260933610430999
12,1,54.0,2.0,1,Resort Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.18523298515466802
17,4,55.0,2.0,2,Resort Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.14115362699167355
112,3,224.67,2.0,0,Resort Hotel,December,Groups,Direct,Transient-Party,No Deposit,0,0,0.21895130923394607
214,4,89.0,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.3591442269519372
56,3,82.44,2.0,1,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.34830863587337346
12,3,75.0,2.0,1,Resort Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.25415922796481055
19,4,210.0,4.0,0,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.5202807457488356
178,3,110.0,1.0,0,City Hotel,April,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9898797523394363
3,1,122.65,3.0,0,City Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.1791758429564388
121,3,80.75,2.0,0,City Hotel,May,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.24037707053270238
0,1,65.0,1.0,0,City Hotel,February,Corporate,Corporate,Transient,No Deposit,1,0,0.17354267464988596
88,2,36.04,2.0,1,Resort Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,0,0.2515694930143949
5,2,86.6,2.0,1,City Hotel,November,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.06258375372231782
0,1,82.66,1.0,0,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.37949222659436294
366,11,78.5,2.0,0,Resort Hotel,June,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.42963889016308254
131,3,94.5,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.17578907632699123
0,1,129.0,2.0,1,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.24864061094375475
18,4,151.0,2.0,2,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.18353229211164757
0,1,48.0,2.0,1,Resort Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.21471080190254516
17,4,200.0,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.3376522789526698
59,3,51.84,2.0,0,Resort Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,0,0.42037775160770074
39,3,217.33,2.0,2,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.18344747248958954
50,2,75.0,2.0,0,City Hotel,October,Groups,Direct,Transient,Non Refund,0,1,0.9825286529124814
142,5,82.0,4.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.37466013133742626
19,1,158.0,3.0,1,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.3559698986303806
319,3,90.0,2.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.43872148032455205
1,1,115.0,1.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.23811231021370724
45,2,198.0,4.0,0,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.5473442018034166
212,4,90.95,2.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.4946284240268777
180,5,138.6,2.0,2,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.2755166455335152
79,4,134.55,2.0,3,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.120888753654819
8,1,125.0,1.0,0,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.3924946631195031
76,4,108.0,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.5384733488135283
265,4,101.0,2.0,0,City Hotel,April,Groups,TA/TO,Transient,Non Refund,0,1,0.9973705275106866
0,1,48.0,2.0,1,Resort Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.21471080190254516
20,5,118.15,2.0,1,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.2822996649225433
39,2,101.5,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,1,0.11986149548362883
61,2,80.0,2.0,0,City Hotel,January,Groups,TA/TO,Transient,Non Refund,0,1,0.9919628367865071
90,3,164.0,2.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.5650902410270136
12,2,153.0,2.0,2,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.131353469556758
75,2,76.5,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.30299820234137903
364,5,66.0,2.0,0,Resort Hotel,October,Groups,Corporate,Transient-Party,No Deposit,0,0,0.44263886127320207
40,4,155.13,2.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.57119321831451
100,8,185.0,2.0,2,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.2903910731031626
157,4,52.0,2.0,0,Resort Hotel,October,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9860839031176566
88,3,96.0,1.0,0,City Hotel,May,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,1,0.12822596959512456
229,5,110.0,2.0,0,City Hotel,July,Groups,TA/TO,Transient,Non Refund,0,1,0.996931401655193
311,2,167.18,2.0,1,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.5781589469036514
32,7,159.29,4.0,0,Resort Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.5508261249092744
273,2,109.0,2.0,0,City Hotel,July,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.2777659944582648
566,2,62.0,2.0,0,City Hotel,January,Groups,TA/TO,Transient,Non Refund,0,1,0.9991577226065056
350,2,140.0,2.0,0,City Hotel,June,Groups,TA/TO,Transient,Non Refund,0,1,0.9980298949861426
68,2,75.0,2.0,0,City Hotel,February,Groups,TA/TO,Transient,Non Refund,0,1,0.9935400360775136
27,1,68.0,1.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.17278051756067647
1,1,92.0,1.0,0,Resort Hotel,May,Online TA,TA/TO,Transient,No Deposit,1,0,0.2930967052331681
95,4,77.86,2.0,2,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.23892240739334333
35,2,133.2,3.0,1,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,1,0.2970196248264668
203,2,90.0,2.0,0,Resort Hotel,April,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.3403844469301301
165,7,89.1,2.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.31686025382958805
44,5,74.82,2.0,1,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.3501879786347011
7,4,125.8,2.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.5142016987169798
129,3,67.0,1.0,0,City Hotel,January,Groups,TA/TO,Transient,Non Refund,0,1,0.9935471769113523
6,2,118.0,2.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.2616739300877653
147,3,106.2,2.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.5783791581616176
15,1,48.0,2.0,0,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.3039342136377349
306,4,67.15,2.0,0,City Hotel,January,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.6230589217754562
1,2,99.33,2.0,1,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.2578111621925688
197,4,78.0,2.0,0,City Hotel,February,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.4406868175098742
7,2,65.0,2.0,1,Resort Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.20697770715573233
12,7,94.95,2.0,1,Resort Hotel,April,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.06431422803726242
328,2,65.0,2.0,1,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.30309279968800235
31,2,152.0,2.0,2,Resort Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.14879047747553995
54,2,200.0,3.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.37856347554101155
342,6,170.0,2.0,0,City Hotel,September,Groups,TA/TO,Transient,Non Refund,0,1,0.9983560541730838
33,5,74.38,1.0,0,City Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,0,0.4432428050153156
157,4,116.1,2.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.619176738474443
54,2,80.3,2.0,0,City Hotel,February,Online TA,TA/TO,Transient,No Deposit,0,0,0.5119728281076182
41,6,127.5,3.0,1,City Hotel,February,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.1612931848784918
178,3,110.0,1.0,0,City Hotel,April,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9898797523394363
53,3,101.1,2.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.4680884035745648
178,2,130.0,2.0,0,City Hotel,June,Groups,TA/TO,Transient,Non Refund,0,1,0.9955640966849609
17,3,242.33,2.0,1,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.3138907477389046
200,3,140.7,3.0,4,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.10206837498098187
138,2,179.0,2.0,2,Resort Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,1,0.20722131459327997
57,4,158.4,3.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.3941623964219096
14,1,100.0,2.0,1,Resort Hotel,April,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.13966673100701774
164,7,240.6,4.0,0,Resort Hotel,September,Direct,Direct,Transient,No Deposit,0,1,0.3973845757769321
247,3,110.0,2.0,0,City Hotel,October,Groups,TA/TO,Transient,Non Refund,0,1,0.9971122547995576
171,14,92.9,2.0,1,Resort Hotel,June,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.1489681659530096
294,2,62.0,2.0,0,City Hotel,August,Groups,TA/TO,Transient-Party,Non Refund,0,1,0.9950884427470204
79,2,75.0,2.0,0,City Hotel,November,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9840050546694302
16,5,251.0,2.0,0,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.518510891883429
72,6,119.0,2.0,0,Resort Hotel,June,Direct,Direct,Transient,No Deposit,1,0,0.18851682546782542
203,3,87.99,3.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.6746142696917627
108,7,74.89,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.5867802155076457
96,2,118.8,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.33750967753046496
43,3,75.0,1.0,0,City Hotel,March,Offline TA/TO,TA/TO,Group,No Deposit,0,0,0.06249106114511455
468,2,0.0,1.0,0,Resort Hotel,May,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.530670990912219
1,4,43.0,2.0,2,Resort Hotel,December,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.07828670203682399
121,7,135.0,2.0,0,City Hotel,July,Direct,Direct,Transient-Party,No Deposit,0,0,0.2097097172495713
324,6,239.1,4.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.7466637098941241
186,1,137.7,3.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.6664759409716962
25,3,62.64,2.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.48076981125091134
12,21,128.06,1.0,0,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.6051590747096514
7,3,97.02,4.0,0,Resort Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.4768542514366628
57,2,116.1,2.0,0,City Hotel,July,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.350021069142696
40,3,118.0,2.0,0,City Hotel,December,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.23765021727273009
199,7,126.0,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.7103188012324935
158,4,357.0,4.0,0,Resort Hotel,August,Direct,Direct,Transient,No Deposit,0,0,0.47063447038958256
45,3,42.0,2.0,1,Resort Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,0,0.227110929587983
503,2,62.8,2.0,0,City Hotel,November,Groups,TA/TO,Transient,Non Refund,0,1,0.9989528740671147
23,4,50.0,2.0,2,Resort Hotel,March,Direct,Direct,Transient,No Deposit,0,0,0.03167348267349086
0,1,140.0,2.0,0,City Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.16931492426349792
0,1,0.0,1.0,0,Resort Hotel,March,Direct,Direct,Transient,No Deposit,0,0,0.08233709696552645
15,3,106.33,2.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.4986857117879158
110,2,191.0,3.0,1,Resort Hotel,August,Direct,Direct,Transient,No Deposit,0,0,0.15155941013560412
0,1,75.0,2.0,0,Resort Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,0,0.3493994034839827
118,2,120.0,2.0,0,City Hotel,June,Groups,TA/TO,Transient-Party,No Deposit,0,1,0.29877678300433047
179,2,65.0,2.0,0,City Hotel,July,Groups,TA/TO,Transient,Non Refund,0,1,0.9950063744591301
3,5,170.0,1.0,0,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,1,1,0.20592097320081762
53,2,160.0,2.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,1,0.3185499566508411
0,1,42.0,1.0,0,Resort Hotel,May,Corporate,Corporate,Transient,No Deposit,1,0,0.10930893711597689
28,3,250.0,4.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.6142559881623987
272,3,0.0,1.0,0,Resort Hotel,September,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.1629645095418097
85,3,96.3,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.5293630109533852
102,1,108.0,2.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,1,0.35436602040217
156,3,100.0,2.0,0,City Hotel,April,Groups,TA/TO,Transient,Non Refund,0,1,0.9954606453490233
128,3,85.0,2.0,0,City Hotel,May,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.24840301566895504
33,2,120.6,3.0,0,City Hotel,September,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.1875411901651793
67,1,159.3,3.0,0,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.532045949064161
39,6,163.0,2.0,0,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.48402786925098956
38,4,48.14,2.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.20939149161087087
59,4,74.8,2.0,1,City Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,0,0.3253902266238081
27,2,231.0,3.0,2,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.18904797488422978
19,6,175.5,3.0,1,Resort Hotel,September,Direct,Direct,Transient,No Deposit,0,1,0.10456292084596813
58,1,79.2,2.0,0,City Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,1,0.506478443593099
300,3,109.2,3.0,2,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,1,0.43556761488325874
1,2,178.5,4.0,1,Resort Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.2645292544891781
234,3,77.03,2.0,1,Resort Hotel,September,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.09566727802315184
20,2,150.0,1.0,1,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.26118138827204246
3,1,100.0,2.0,0,City Hotel,June,Direct,Direct,Transient,No Deposit,0,0,0.14988435247337356
14,1,0.0,1.0,1,City Hotel,May,Complementary,Corporate,Transient,No Deposit,1,0,0.11219457287603493
213,4,104.0,1.0,0,City Hotel,August,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.4095256567853779
53,7,113.05,2.0,0,City Hotel,August,Direct,Direct,Transient,No Deposit,0,0,0.2517479410828419
9,1,44.4,2.0,2,Resort Hotel,December,Online TA,TA/TO,Transient,No Deposit,0,0,0.11816821884835914
1,1,80.0,2.0,1,Resort Hotel,April,Direct,Direct,Transient,No Deposit,0,0,0.06538081613203507
247,3,110.0,2.0,0,City Hotel,October,Groups,TA/TO,Transient,Non Refund,0,1,0.9971122547995576
41,11,157.5,2.0,0,Resort Hotel,June,Offline TA/TO,TA/TO,Transient,No Deposit,0,1,0.23233591002377424
45,1,64.0,2.0,1,Resort Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.22822679705435422
122,3,116.1,2.0,2,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.22080673210478516
80,1,98.41,2.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.4867615014535175
22,4,100.3,2.0,0,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.42843028181534304
173,11,132.91,2.0,0,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.6682361833531163
11,3,43.0,1.0,0,Resort Hotel,January,Online TA,TA/TO,Transient,No Deposit,0,0,0.32421972695069046
80,7,257.0,2.0,2,Resort Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.2560768119085918
29,3,65.0,1.0,0,City Hotel,January,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.19916664614894528
51,3,114.0,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.324080420648161
242,13,156.6,3.0,0,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,1,0.8179560196500071
101,6,140.0,1.0,0,City Hotel,June,Groups,TA/TO,Transient,Non Refund,0,1,0.9943585377251781
36,6,224.0,4.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.4585938279001229
8,2,150.0,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.29287932568199077
131,7,80.0,2.0,1,Resort Hotel,April,Groups,TA/TO,Contract,No Deposit,0,0,0.2075833582536508
11,10,27.9,2.0,0,Resort Hotel,March,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.14306925096597714
1,1,98.0,2.0,0,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.4103176538567461
17,2,160.0,2.0,2,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,1,0.1620549458689052
56,1,120.0,2.0,0,City Hotel,June,Offline TA/TO,Corporate,Transient-Party,No Deposit,0,1,0.08259666700313256
2,1,35.0,1.0,0,Resort Hotel,January,Corporate,Corporate,Transient,No Deposit,0,0,0.12257662733120568
364,2,101.5,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Transient-Party,Non Refund,0,1,0.9927723060690052
178,1,61.65,2.0,0,Resort Hotel,September,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.2079368320282629
112,4,80.75,2.0,0,City Hotel,October,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.2592500085542724
150,2,108.0,2.0,1,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.39425636203757847
7,1,36.96,2.0,1,Resort Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,0,0.1625226477584723
25,2,104.0,1.0,0,City Hotel,June,Online TA,TA/TO,Transient,No Deposit,0,0,0.40227628733657655
87,7,73.0,2.0,0,Resort Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.48395107466793325
14,2,150.0,1.0,1,City Hotel,July,Online TA,TA/TO,Transient,No Deposit,0,0,0.2657878945005557
176,3,198.9,3.0,0,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,1,0.6794956911001553
134,1,75.0,1.0,0,City Hotel,February,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.3153358239267822
251,4,108.0,2.0,0,Resort Hotel,June,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.39827595506815044
405,2,91.5,1.0,0,City Hotel,July,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.3775554726438162
153,4,110.0,1.0,0,City Hotel,June,Corporate,TA/TO,Transient,Non Refund,0,1,0.9934498573207502
38,1,75.0,1.0,0,City Hotel,January,Corporate,Corporate,Transient,Non Refund,0,1,0.9809850355961899
99,1,80.0,2.0,0,City Hotel,February,Corporate,Corporate,Transient-Party,No Deposit,0,1,0.19367211769092935
0,4,116.0,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.45707142642386717
318,14,84.8,2.0,0,Resort Hotel,June,Offline TA/TO,TA/TO,Contract,No Deposit,0,0,0.41409967565041594
197,3,79.2,2.0,2,City Hotel,March,Online TA,TA/TO,Transient,No Deposit,0,1,0.25356960127186856
31,13,36.0,1.0,0,Resort Hotel,November,Corporate,Corporate,Transient-Party,No Deposit,0,0,0.14641268564606588
121,3,90.0,2.0,0,City Hotel,June,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9860468976118957
19,1,170.0,1.0,0,City Hotel,September,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.2029863017032204
39,5,175.08,2.0,1,City Hotel,September,Online TA,TA/TO,Transient,No Deposit,0,0,0.33335452727608406
9,4,65.0,1.0,0,City Hotel,January,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.09362194718678726
188,5,75.0,2.0,0,City Hotel,April,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.3358778297780635
211,4,121.55,3.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.5438662748361985
6,3,89.0,2.0,0,City Hotel,January,Online TA,TA/TO,Transient-Party,No Deposit,0,0,0.2977320863496863
78,2,232.0,2.0,1,Resort Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.3596418009958673
272,4,110.0,2.0,0,City Hotel,June,Groups,TA/TO,Transient,Non Refund,0,1,0.9972205650146396
69,3,135.9,2.0,2,City Hotel,August,Online TA,TA/TO,Transient,No Deposit,0,0,0.20650567317301624
2,2,229.0,3.0,0,City Hotel,August,Direct,Direct,Transient,No Deposit,0,0,0.24209405538902878
28,3,104.0,2.0,0,City Hotel,November,Online TA,TA/TO,Transient,No Deposit,0,1,0.4764716705414605
444,3,75.0,1.0,0,City Hotel,December,Offline TA/TO,TA/TO,Transient,Non Refund,0,1,0.9972045794224831
21,4,156.4,2.0,1,City Hotel,May,Online TA,TA/TO,Transient,No Deposit,0,0,0.31065606668698437
30,6,65.4,2.0,0,Resort Hotel,March,Groups,TA/TO,Transient-Party,No Deposit,0,0,0.18112386995224591
110,5,158.95,2.0,0,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,1,0.6208481089693113
391,2,65.0,2.0,0,City Hotel,July,Groups,TA/TO,Transient,Non Refund,0,1,0.9981016966891896
47,3,135.0,2.0,1,City Hotel,April,Online TA,TA/TO,Transient,No Deposit,0,0,0.33249397250460067
128,1,80.75,2.0,0,City Hotel,September,Offline TA/TO,TA/TO,Transient,No Deposit,0,0,0.21649366067647155
301,2,101.5,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,Non Refund,0,1,0.9902045818645256
11,8,159.75,4.0,0,Resort Hotel,July,Direct,Direct,Transient,No Deposit,0,0,0.23355034620603324
151,4,70.75,1.0,0,City Hotel,January,Offline TA/TO,TA/TO,Transient-Party,No Deposit,0,0,0.1673106567353859
85,14,217.14,3.0,2,Resort Hotel,August,Direct,Direct,Group,No Deposit,0,1,0.04977717235089144
99,1,81.0,1.0,0,City Hotel,February,Corporate,TA/TO,Transient-Party,No Deposit,0,0,0.24337652355458808
301,2,101.5,2.0,0,City Hotel,August,Offline TA/TO,TA/TO,Transient-Party,Non Refund,0,1,0.9902045818645256
82,4,59.85,2.0,1,City Hotel,October,Online TA,TA/TO,Transient,No Deposit,0,0,0.3358444063822019
